date,open,high,low,close,volume,change_pc,target,prev_change
2017-01-20,226.69999700000002,227.309998,225.97000099999997,226.74000499999997,129168600,0.0036740338422549534,1,-0.0037045027563394894
2017-01-23,226.74000499999997,226.809998,225.270004,226.149994,75061600,-0.002602147777142294,0,0.0036740338422549534
2017-01-24,226.399994,228.080002,226.270004,227.600006,95555300,0.006411726900156456,1,-0.002602147777142294
2017-01-25,228.69999700000002,229.57000699999998,228.50999500000003,229.57000699999998,84437700,0.008655540193614808,1,0.006411726900156456
2017-01-26,229.399994,229.710007,229.00999500000003,229.330002,59970700,-0.0010454545135766269,0,0.008655540193614808
2017-01-27,229.419998,229.58999599999999,228.75999500000003,228.97000099999997,59711100,-0.0015697946054177292,0,-0.0010454545135766269
2017-01-30,228.169998,228.19999700000002,226.41000400000001,227.55000299999998,79737300,-0.006201677048514265,0,-0.0015697946054177292
2017-01-31,226.979996,227.600006,226.32000699999998,227.52999900000003,75880800,-8.791034821453714e-05,0,-0.006201677048514265
2017-02-01,227.52999900000003,228.58999599999999,226.940002,227.61999500000002,79117700,0.00039553465650921105,1,-8.791034821453714e-05
2017-02-02,227.61999500000002,228.100006,226.82000699999998,227.770004,69657600,0.0006590326126665325,1,0.00039553465650921105
2017-02-03,228.82000699999998,229.55000299999998,228.460007,229.33999599999999,80563200,0.006892883050570564,1,0.0006590326126665325
2017-02-06,228.86999500000002,229.330002,228.539993,228.92999300000002,57790100,-0.001787751840721108,0,0.006892883050570564
2017-02-07,229.38000499999998,229.66000400000001,228.72000099999997,228.940002,57931200,4.372078935044321e-05,1,-0.001787751840721108
2017-02-08,228.940002,229.38999900000002,228.309998,229.24000499999997,51566200,0.001310400093383235,1,4.372078935044321e-05
2017-02-09,229.24000499999997,230.94999700000002,229.24000499999997,230.600006,65955200,0.005932651240345477,1,0.001310400093383235
2017-02-10,231.0,231.770004,230.61999500000002,231.50999500000003,66015900,0.0039461794289807894,1,0.005932651240345477
2017-02-13,232.080002,233.07000699999998,232.05000299999998,232.770004,55182100,0.00544256847312341,1,0.0039461794289807894
2017-02-14,232.559998,233.710007,232.16000400000001,233.69999700000002,71109000,0.003995330085572402,1,0.00544256847312341
2017-02-15,233.44999700000002,235.13999900000002,233.38999900000002,234.919998,86785800,0.0052203723391575085,1,0.003995330085572402
2017-02-16,234.94999700000002,235.16000400000001,233.850006,234.72000099999997,84722400,-0.0008513408892504293,0,0.0052203723391575085
2017-02-17,233.94999700000002,235.08999599999999,233.92999300000002,235.08999599999999,77204100,0.0015763249762428266,1,-0.0008513408892504293
2017-02-21,235.520004,236.690002,235.50999500000003,236.49000499999997,88946100,0.005955204491134403,1,0.0015763249762428266
2017-02-22,236.020004,236.539993,235.830002,236.27999900000003,62115200,-0.0008880121593296542,0,0.005955204491134403
2017-02-23,236.88000499999998,236.899994,235.559998,236.440002,74615900,0.0006771753880021603,1,-0.0008880121593296542
2017-02-24,235.460007,236.789993,235.41000400000001,236.74000499999997,82381600,0.0012688335199726453,1,0.0006771753880021603
2017-02-27,236.63999900000002,237.309998,236.350006,237.11000099999998,56515400,0.0015628790748738464,1,0.0012688335199726453
2017-02-28,236.669998,236.94999700000002,236.020004,236.47000099999997,96961900,-0.002699169150608749,0,0.0015628790748738464
2017-03-01,238.38999900000002,240.32000699999998,238.36999500000002,239.77999900000003,149158200,0.013997538740654347,1,-0.002699169150608749
2017-03-02,239.559998,239.57000699999998,238.210007,238.270004,70246000,-0.006297418493191431,0,0.013997538740654347
2017-03-03,238.169998,238.61000099999998,237.729996,238.419998,81974300,0.0006295127270825596,1,-0.006297418493191431
